Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Status,Open Date,Links
"Bristol - Lysander Road (SC), UK","Lysander Road, Westbury-on-Trym",Bristol,,BS10 7UB,United Kingdom,6,120,"51.522889, -2.609222",49,OPEN,3/23/2020,gmap | forum | tesla
"Fishkill, NY",18 Westage Dr,Fishkill,NY,12524,USA,12,250,"41.52727858284335, -73.893152475357",65,OPEN,3/22/2020,gmap | forum | tesla
"Tumwater, WA",2430 93rd Ave SW,Tumwater,WA,98512,USA,8,250,"46.952944, -122.935111",61,OPEN,3/21/2020,gmap | forum | tesla
"Northbrook, IL",840 Willow Rd,Northbrook,IL,60062,USA,8,250,"42.107745, -87.802496",195,OPEN,3/18/2020,gmap | forum | tesla
"Abbotsford, BC",3122 Mount Lehman Rd,Abbotsford,BC,V4X 2M9,Canada,12,250,"49.0580075, -122.378125",100,OPEN,3/16/2020,gmap | forum | tesla
"Vero Beach, FL",9050 20th St,Vero Beach,FL,32966,USA,8,250,"27.6400894, -80.5135068",7,OPEN,3/16/2020,gmap | forum | tesla
"Lancaster, PA",518 Greenfield Rd,Lancaster,PA,17601,USA,8,250,"40.052622, -76.254776",107,OPEN,3/14/2020,gmap | forum | tesla
"Aleksinac, Serbia",Žitkovački put (bb),Aleksinac,,18220,Serbia,4,125,"43.528789, 21.709381",164,OPEN,3/13/2020,gmap | forum | tesla
"Belgrade, Serbia",Astrid Lindgren 11,Beograd,,11231,Serbia,4,150,"44.711568, 20.562039",108,OPEN,3/13/2020,gmap | forum | tesla
"Liertoppen, Norway",By entrance A of Liertoppen shopping center,Lierskogen,,3420,Norway,40,250,"59.808633, 10.299023",229,OPEN,3/12/2020,gmap | forum | tesla
"Plovdiv, Bulgaria",kv. Kamenitsa,Plovdiv,,4017,Bulgaria,4,150,"42.144521, 24.768837",161,OPEN,3/11/2020,gmap | forum | tesla
"New London, CT",369 N Frontage Rd,New London,CT,6320,USA,8,250,"41.370726, -72.119398",38,OPEN,3/7/2020,gmap | forum | tesla
"Washington - Wisconsin Ave NW, DC",1855 Wisconsin Ave NW,Washington,DC,20007,USA,8,72,"38.91655, -77.066175",51,OPEN,3/6/2020,gmap | forum | tesla
"Sydney - Macquarie Park, NSW",Cnr Herring Rd & Waterloo Rd,Macquarie Park,NSW,2113,Australia,10,150,"-33.777217, 151.12088",47,OPEN,3/5/2020,gmap | forum | tesla
"Chestertown, NY",6151 NY-8,Chestertown,NY,12817,USA,6,250,"43.665802, -73.784266",259,OPEN,3/5/2020,gmap | forum | tesla
"Toowoomba, QLD",254 South St,South Toowoomba,QLD,4350,Australia,4,150,"-27.577891, 151.946812",619,OPEN,3/4/2020,gmap | forum | tesla
"Beijing - Wangjing, Juanshitiandi Building, China",北京市北京市朝阳区阜通东大街,Beijing,Beijing,,China,20,150,"39.982954, 116.452092",45,OPEN,2/29/2020,gmap | forum | tesla
"Thornton, CO",237 E 120th Ave,Thornton,CO,80233,USA,8,250,"39.914711, -104.986758",1635,OPEN,2/28/2020,gmap | forum | tesla
"Copiague, NY",1147 Sunrise Hwy,Copiague,NY,11726,USA,8,250,"40.688444, -73.4055",9,OPEN,2/27/2020,gmap | forum | tesla
"Deerfield Beach, FL",20 SW 12th Ave,Deerfield Beach,FL,33442,USA,8,250,"26.317736, -80.119643",4,OPEN,2/25/2020,gmap | forum | tesla
"Williamsport, PA",105 Maynard St,Williamsport,PA,17701,USA,8,250,"41.2328, -77.019865",160,OPEN,2/25/2020,gmap | forum | tesla
"Buchelay, France",Avenue de la Durance,Buchelay,,78200,France,8,150,"48.990167, 1.671528",42,OPEN,2/25/2020,gmap | forum | tesla
"Bloomington, IN",3600 W Third St,Bloomington,IN,47404,USA,8,250,"39.166222, -86.579116",261,OPEN,2/25/2020,gmap | forum | tesla
"Riverside - Canyon Springs Pkwy, CA",2755 Canyon Springs Pkwy,Riverside,CA,92507,USA,12,250,"33.939957, -117.282508",486,OPEN,2/25/2020,gmap | forum | tesla
"Kokomo, IN",2301 E Markland Ave,Kokomo,IN,46901,USA,8,250,"40.475169, -86.101306",249,OPEN,2/25/2020,gmap | forum | tesla
"Lowell, AR",898 W Monroe Ave,Lowell,AR,72745,USA,8,250,"36.255329, -94.152637",401,OPEN,2/21/2020,gmap | forum | tesla
"Maple Shade, NJ",2801 Route 73 South,Maple Shade,NJ,8052,USA,8,250,"39.937134, -74.970511",17,OPEN,2/21/2020,gmap | forum | tesla
"Gol West, Norway","By Biltema café, Hahaugvegen 31",Gol,,3550,Norway,24,150,"60.697433, 8.953477",219,OPEN,2/21/2020,gmap | forum | tesla
"Ashburn, VA",43300 Southern Walk Plaza,Ashburn,VA,20148,USA,8,250,"39.008466, -77.504972",99,OPEN,2/20/2020,gmap | forum | tesla
"Clearwater, FL",26508 US Highway 19,Clearwater,FL,33761,USA,8,250,"28.013295, -82.736244",25,OPEN,2/18/2020,gmap | forum | tesla
"Roseville - Galleria Boulevard, CA",1112 Galleria Blvd,Roseville,CA,95678,USA,20,150,"38.767949, -121.263356",69,OPEN,2/18/2020,gmap | forum | tesla
"Hiroshima, Japan","1-chōme-1 Shōkō Center, Nishi-ku",Hiroshima,Hiroshima,733-0833,Japan,8,120,"34.372844, 132.404382",6,OPEN,2/15/2020,gmap | forum | tesla
"Remouchamps, Belgium",Square Phillipe Gilbert 1,Remouchamps,,4920,Belgium,10,150,"50.484271, 5.70141",140,OPEN,2/15/2020,gmap | forum | tesla
"Ochopee, FL",47801 W State Rd 84,Ochopee,FL,34141,USA,12,250,"26.173437, -80.855101",5,OPEN,2/14/2020,gmap | forum | tesla
