,country,city,status,open_date,lat,long
846,Croatia,47000 Karlovac,OPEN,2018-09-23,45.513107,15.547314
847,China,Hangzhou,OPEN,2018-09-20,30.2090883,120.20525199
848,USA,Dublin,OPEN,2018-09-16,40.0930008,-83.0936558
849,China,Guangzhou,OPEN,2018-09-07,23.10770954,113.62796621
850,China,Nantong,OPEN,2018-09-05,31.92271539,120.96168408
851,USA,Atlanta,OPEN,2018-09-01,33.848756,-84.36434
852,USA,San Jose,OPEN,2018-09-01,37.339661,-121.905085
853,Portugal,Alcacér do Sal,OPEN,2018-08-31,38.391941,-8.513867
854,USA,San Ramon,OPEN,2018-08-30,37.76292,-121.963662
855,China,Changde,OPEN,2018-08-30,28.924987,111.745209
856,USA,Jacksonville,OPEN,2018-08-29,30.254019,-81.536459
857,China,Chengdu,OPEN,2018-08-29,30.589617,104.05114
858,China,Shanghai,OPEN,2018-08-28,31.26443097,121.49888533
859,USA,Atlanta,OPEN,2018-08-24,33.846445,-84.360194
860,China,Xiantao,OPEN,2018-08-22,30.360243,113.437477
861,China,Dongguan,OPEN,2018-08-22,23.02486299,113.7658954
862,China,Laohekou,OPEN,2018-08-21,32.3358428,111.71644278
863,Austria,Laßnitzhöhe,OPEN,2018-08-20,47.071071,15.577942
864,USA,Houston,OPEN,2018-08-18,29.867259,-95.538125
865,China,Longyan,OPEN,2018-08-14,25.055713,117.02429894
866,USA,Sacramento,OPEN,2018-08-11,38.603327,-121.42853
867,USA,Islandia,OPEN,2018-08-11,40.805079,-73.180528
868,China,Nanjing,OPEN,2018-08-11,31.9134525,118.81133155
869,China,Wuzhou,OPEN,2018-08-09,23.4747219,111.27909629
870,Canada,Aulac,OPEN,2018-08-09,45.871351,-64.280325
871,USA,Thousand Oaks,OPEN,2018-08-05,34.18445,-118.890747
872,USA,Chicago,OPEN,2018-08-02,41.908043,-87.647839
873,China,Ningbo,OPEN,2018-08-02,29.866539,121.561714
874,USA,Tampa,OPEN,2018-08-01,27.937057,-82.481113
875,USA,York,OPEN,2018-08-01,39.9102501,-76.7015182
876,France,Chemaudin et Vaux,OPEN,2018-07-31,47.234539,5.901153
877,USA,Leavenworth,OPEN,2018-07-28,47.598608,-120.655636
878,USA,Lower Manhattan,OPEN,2018-07-25,40.717153,-73.991869
879,Australia,Narooma,OPEN,2018-07-23,-36.223176,150.128311
880,Canada,Vancouver,OPEN,2018-07-23,49.287756,-123.115411
881,USA,Roswell,OPEN,2018-07-21,34.067199,-84.318835
882,USA,North Brunswick,OPEN,2018-07-20,40.439373,-74.504769
883,France,Saint-Parres-aux-Tertres,OPEN,2018-07-20,48.293229,4.130685
884,Sweden,Grums,OPEN,2018-07-19,59.367618,13.144922
885,China,Tianjin,OPEN,2018-07-14,39.131271,117.231758
886,Norway,Os,OPEN,2018-07-12,60.192788,5.4652
887,Norway,Ørskog,OPEN,2018-07-10,62.520404,6.915983
888,Spain,Atalaya del Cañavate,OPEN,2018-07-04,39.538687,-2.254555
889,USA,Sandusky,OPEN,2018-07-03,41.410173,-82.662914
890,Taiwan,Taitung,OPEN,2018-07-03,22.770315,121.122457
891,New Zealand,Queenstown,OPEN,2018-07-03,-45.026352,168.743478
892,USA,Aspen,OPEN,2018-07-03,39.204837,-106.858507
893,New Zealand,Auckland,OPEN,2018-07-03,-36.858594,174.754172
894,United Kingdom,Burtonwood,OPEN,2018-07-02,53.417605,-2.639522
895,USA,Yonkers,OPEN,2018-07-02,40.963462,-73.855127
896,USA,Manchester,OPEN,2018-07-02,35.458583,-86.057316
897,USA,San Carlos,OPEN,2018-07-02,37.502912,-122.245569
898,USA,East Palo Alto,OPEN,2018-07-02,37.459659,-122.137651
899,USA,Fort Myers,OPEN,2018-07-02,26.608585,-81.809444
900,USA,Delray Beach,OPEN,2018-07-01,26.455815,-80.190072
901,Canada,Pointe Claire,OPEN,2018-06-30,45.464212,-73.828203
